"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SAU","GRADRATE","UPPSRY_MEN","PC","A","2014",77.636,
"SAU","GRADRATE","UPPSRY_WOMEN","PC","A","2014",65.992,
"SVN","GRADRATE","UPPSRY_MEN","PC","A","2014",88.66,
"SVN","GRADRATE","UPPSRY_WOMEN","PC","A","2014",91.409,
"ZAF","GRADRATE","UPPSRY_MEN","PC","A","2014",31.761,
"ZAF","GRADRATE","UPPSRY_WOMEN","PC","A","2014",35.469,
"AUS","GRADRATE","TRY_MEN","PC","A","2014",64.178,
"AUS","GRADRATE","TRY_WOMEN","PC","A","2014",86.727,
"AUT","GRADRATE","TRY_MEN","PC","A","2014",42.741,
"AUT","GRADRATE","TRY_WOMEN","PC","A","2014",58.535,
"BEL","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"BEL","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
"CZE","GRADRATE","TRY_MEN","PC","A","2014",31.967,
"CZE","GRADRATE","TRY_WOMEN","PC","A","2014",56.51,
"DNK","GRADRATE","TRY_MEN","PC","A","2014",53.389,
"DNK","GRADRATE","TRY_WOMEN","PC","A","2014",75.607,
"FIN","GRADRATE","TRY_MEN","PC","A","2014",40.573,
"FIN","GRADRATE","TRY_WOMEN","PC","A","2014",57.619,
"FRA","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"FRA","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
"DEU","GRADRATE","TRY_MEN","PC","A","2014",36.12,
"DEU","GRADRATE","TRY_WOMEN","PC","A","2014",39.525,
"GRC","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"GRC","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
"HUN","GRADRATE","TRY_MEN","PC","A","2014",26.921,
"HUN","GRADRATE","TRY_WOMEN","PC","A","2014",45.796,
"IRL","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"IRL","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
"ITA","GRADRATE","TRY_MEN","PC","A","2014",26.891,
"ITA","GRADRATE","TRY_WOMEN","PC","A","2014",41.615,
"JPN","GRADRATE","TRY_MEN","PC","A","2014",67.715,
"JPN","GRADRATE","TRY_WOMEN","PC","A","2014",74.664,
"KOR","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"KOR","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
"LUX","GRADRATE","TRY_MEN","PC","A","2014",18.399,
"LUX","GRADRATE","TRY_WOMEN","PC","A","2014",25.086,
"MEX","GRADRATE","TRY_MEN","PC","A","2014",24.606,
"MEX","GRADRATE","TRY_WOMEN","PC","A","2014",25.521,
"NLD","GRADRATE","TRY_MEN","PC","A","2014",39.861,
"NLD","GRADRATE","TRY_WOMEN","PC","A","2014",52.434,
"NZL","GRADRATE","TRY_MEN","PC","A","2014",65.469,
"NZL","GRADRATE","TRY_WOMEN","PC","A","2014",85.595,
"NOR","GRADRATE","TRY_MEN","PC","A","2014",37.584,
"NOR","GRADRATE","TRY_WOMEN","PC","A","2014",56.694,
"POL","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"POL","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
"PRT","GRADRATE","TRY_MEN","PC","A","2014",33.859,
"PRT","GRADRATE","TRY_WOMEN","PC","A","2014",50.126,
"SVK","GRADRATE","TRY_MEN","PC","A","2014",30.309,
"SVK","GRADRATE","TRY_WOMEN","PC","A","2014",55.691,
"ESP","GRADRATE","TRY_MEN","PC","A","2014",52.671,
"ESP","GRADRATE","TRY_WOMEN","PC","A","2014",66.138,
"SWE","GRADRATE","TRY_MEN","PC","A","2014",30.481,
"SWE","GRADRATE","TRY_WOMEN","PC","A","2014",52.16,
"CHE","GRADRATE","TRY_MEN","PC","A","2014",49.469,
"CHE","GRADRATE","TRY_WOMEN","PC","A","2014",49.85,
"TUR","GRADRATE","TRY_MEN","PC","A","2014",55.426,
"TUR","GRADRATE","TRY_WOMEN","PC","A","2014",56.236,
"GBR","GRADRATE","TRY_MEN","PC","A","2014",41.363,
"GBR","GRADRATE","TRY_WOMEN","PC","A","2014",54.186,
"USA","GRADRATE","TRY_MEN","PC","A","2014",44.253,
"USA","GRADRATE","TRY_WOMEN","PC","A","2014",64.556,
"BRA","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"BRA","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
"CHL","GRADRATE","TRY_MEN","PC","A","2014",43.384,
"CHL","GRADRATE","TRY_WOMEN","PC","A","2014",58.337,
"CHN","GRADRATE","TRY_MEN","PC","A","2014",21.848,
"CHN","GRADRATE","TRY_WOMEN","PC","A","2014",25.262,
"COL","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"COL","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
"CRI","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"CRI","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
"CRI","GRADRATE","UPPSRY_MEN","PC","A","2014",47.186,
"CRI","GRADRATE","UPPSRY_WOMEN","PC","A","2014",60.638,
"EST","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"EST","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
"IDN","GRADRATE","TRY_MEN","PC","A","2014",22.34,
"IDN","GRADRATE","TRY_WOMEN","PC","A","2014",24.692,
"ISR","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"ISR","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
"LVA","GRADRATE","TRY_MEN","PC","A","2014",31.896,
"LVA","GRADRATE","TRY_WOMEN","PC","A","2014",60.192,
"LTU","GRADRATE","TRY_MEN","PC","A","2014",38.624,
"LTU","GRADRATE","TRY_WOMEN","PC","A","2014",66.165,
"LTU","GRADRATE","UPPSRY_MEN","PC","A","2014",88.661,
"LTU","GRADRATE","UPPSRY_WOMEN","PC","A","2014",95.316,
"RUS","GRADRATE","TRY_MEN","PC","A","2014",74.744,
"RUS","GRADRATE","TRY_WOMEN","PC","A","2014",104.932,
"SAU","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"SAU","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
"SVN","GRADRATE","TRY_MEN","PC","A","2014",43.814,
"SVN","GRADRATE","TRY_WOMEN","PC","A","2014",69.306,
"ZAF","GRADRATE","TRY_MEN","PC","A","2014",,"M"
"ZAF","GRADRATE","TRY_WOMEN","PC","A","2014",,"M"
